,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
485,21109,02,03,10,17,20,26,16
486,21108,11,15,18,24,26,32,09
487,21107,02,03,17,19,25,30,01
488,21106,01,04,07,14,30,31,03
489,21105,10,14,15,22,27,32,09
490,21104,01,07,17,20,22,28,15
491,21103,10,13,15,25,29,30,15
492,21102,05,09,15,24,27,30,09
493,21101,02,04,12,22,29,31,01
494,21100,07,09,12,13,14,29,16
495,21099,09,11,17,18,20,27,15
496,21098,01,10,13,18,26,32,05
497,21097,03,11,12,13,25,28,12
498,21096,01,07,11,14,15,26,11
499,21095,08,12,17,24,27,28,13
500,21094,09,11,24,25,28,33,15
501,21093,05,11,15,23,28,33,03
502,21092,02,07,08,10,12,31,03
503,21091,04,06,16,24,26,33,16
504,21090,05,06,12,14,27,28,08
505,21089,01,02,07,13,23,24,12
506,21088,04,12,15,16,19,26,06
507,21087,02,13,16,19,23,24,04
508,21086,06,08,10,14,28,29,01
509,21085,05,06,07,11,14,20,02
510,21084,05,07,09,11,21,28,01
511,21083,04,09,11,25,28,33,04
512,21082,03,06,11,13,26,32,05
513,21081,01,03,05,18,22,23,01
514,21080,05,08,22,23,24,29,09
515,21079,01,03,10,24,28,29,13
516,21078,04,06,15,26,27,31,12
517,21077,08,15,17,25,27,30,10
518,21076,03,09,21,23,30,32,06
519,21075,12,15,16,21,22,29,01
520,21074,04,05,09,14,25,27,07
521,21073,01,06,18,22,24,25,08
522,21072,01,09,15,16,19,21,15
523,21071,01,07,24,31,32,33,08
524,21070,01,05,11,15,16,29,15
525,21069,06,11,18,20,23,26,05
526,21068,04,14,18,24,31,32,15
527,21067,01,11,19,23,25,29,09
528,21066,02,06,19,26,30,33,15
529,21065,01,04,08,19,29,33,16
530,21064,04,06,08,15,16,18,16
531,21063,04,05,06,09,23,24,09
532,21062,12,13,15,20,22,25,10
533,21061,04,09,12,18,20,23,01
534,21060,10,11,17,20,29,30,15
535,21059,01,09,11,18,32,33,14
536,21058,09,11,13,18,19,28,14
537,21057,05,06,09,17,25,33,16
538,21056,08,21,22,23,29,32,01
539,21055,03,11,12,16,22,28,10
540,21054,07,13,21,22,24,31,02
541,21053,07,10,14,16,24,33,16
542,21052,03,04,06,19,21,30,14
543,21051,08,09,10,19,27,29,15
544,21050,02,09,10,16,25,28,08
545,21049,04,11,13,22,25,32,01
546,21048,04,15,17,22,29,32,03
547,21047,03,07,13,16,24,29,01
548,21046,05,09,13,21,28,33,06
549,21045,01,04,14,15,17,32,02
550,21044,05,07,14,17,26,28,13
551,21043,02,03,17,18,23,24,01
552,21042,05,09,10,22,25,27,08
553,21041,02,09,18,23,26,32,14
554,21040,02,06,07,24,28,29,16
555,21039,02,08,21,24,29,31,13
556,21038,05,07,09,16,18,27,06
557,21037,13,17,19,24,26,30,12
558,21036,01,02,06,11,21,26,11
559,21035,12,14,18,20,26,28,11
560,21034,04,10,12,18,23,25,01
561,21033,02,12,13,14,31,33,06
562,21032,01,05,08,15,16,30,03
563,21031,06,11,21,25,28,31,07
564,21030,08,09,13,27,29,31,05
565,21029,08,10,15,17,22,30,12
566,21028,11,16,23,26,27,33,05
567,21027,05,07,09,16,20,26,08
568,21026,03,05,13,19,20,25,03
569,21025,06,08,14,17,18,30,11
570,21024,01,04,06,10,11,18,02
571,21023,02,21,22,23,27,28,11
572,21022,10,15,17,25,31,32,06
573,21021,04,08,17,24,28,33,13
574,21020,01,03,06,07,09,11,02
575,21019,12,16,17,24,28,29,08
576,21018,02,08,14,23,25,32,06
577,21017,09,15,18,29,32,33,02
578,21016,03,08,09,13,15,18,10
579,21015,06,14,16,26,28,29,07
580,21014,04,15,21,25,29,33,06
581,21013,06,09,12,16,27,31,06
582,21012,03,06,14,18,20,26,01
583,21011,05,10,16,23,27,33,14
584,21010,01,04,11,19,32,33,05
585,21009,02,04,07,24,25,32,13
586,21008,01,05,07,14,18,33,07
587,21007,02,04,12,21,25,32,16
588,21006,06,08,22,24,25,26,01
589,21005,07,09,14,26,30,31,04
590,21004,02,03,07,08,17,22,15
591,21003,06,09,16,18,22,29,11
592,21002,06,10,13,25,26,32,11
593,21001,02,03,13,18,20,31,11
594,20134,02,09,10,20,22,26,01
595,20133,03,19,22,23,27,29,07
596,20132,01,04,11,12,14,23,04
597,20131,08,19,22,26,27,30,07
598,20130,08,09,11,14,17,29,16
599,20129,01,02,05,15,28,33,04
600,20128,08,10,15,16,23,26,10
601,20127,01,04,18,19,26,31,07
602,20126,03,07,12,14,23,28,11
603,20125,05,12,16,26,30,31,13
604,20124,16,18,19,20,29,33,12
605,20123,01,03,18,19,26,29,03
606,20122,12,15,17,24,26,31,15
607,20121,02,04,06,21,25,29,03
608,20120,01,02,03,04,09,10,12
609,20119,01,09,22,28,32,33,15
610,20118,11,13,19,26,30,33,05
611,20117,07,08,09,10,16,27,07
612,20116,05,06,14,16,19,27,10
613,20115,01,04,12,20,25,32,02
614,20114,01,05,11,24,30,32,03
615,20113,01,03,07,10,22,32,11
616,20112,02,09,12,17,28,32,05
617,20111,06,09,17,22,24,26,16
618,20110,02,06,09,14,22,25,04
619,20109,06,13,16,20,23,32,13
620,20108,10,12,15,17,23,32,05
621,20107,03,09,11,24,25,28,16
622,20106,02,04,11,15,18,28,10
623,20105,06,14,19,20,22,24,01
624,20104,04,08,10,16,27,29,09
625,20103,04,09,10,22,28,32,08
626,20102,09,10,19,25,26,29,08
627,20101,10,17,24,25,28,30,15
628,20100,01,07,15,16,20,23,07
629,20099,05,06,11,12,15,30,12
630,20098,06,08,11,22,25,33,02
631,20097,02,08,21,25,26,30,10
632,20096,01,20,23,26,27,32,15
633,20095,03,09,16,17,20,26,02
634,20094,10,15,17,27,29,31,08
635,20093,04,05,10,13,15,19,15
636,20092,01,06,12,18,22,24,03
637,20091,01,09,11,12,16,19,16
638,20090,02,21,23,26,31,32,06
639,20089,02,14,16,21,29,30,10
640,20088,01,06,12,26,29,30,12
641,20087,11,15,20,23,25,33,10
642,20086,02,04,06,15,24,27,06
643,20085,01,02,05,09,19,24,16
644,20084,03,07,16,17,23,30,07
645,20083,01,19,25,26,30,31,12
646,20082,02,08,11,17,21,30,09
647,20081,01,05,13,14,27,33,15
648,20080,14,15,18,22,31,33,01
649,20079,05,12,20,21,22,29,14
650,20078,03,11,14,16,21,32,04
651,20077,03,10,16,21,25,27,12
652,20076,10,15,16,18,20,27,06
653,20075,03,11,13,20,24,30,16
654,20074,04,08,09,13,19,33,12
655,20073,05,07,11,13,27,29,03
656,20072,06,08,10,15,17,26,04
657,20071,09,11,12,13,22,23,08
658,20070,01,02,04,06,19,21,15
659,20069,03,09,10,13,18,26,04
660,20068,12,16,21,26,27,32,10
661,20067,04,07,09,23,27,30,08
662,20066,02,09,13,17,26,28,07
663,20065,09,15,18,21,23,26,08
664,20064,01,03,07,21,27,32,01
